Short_Desc,MajorGroup,FdGp_Desc,GmWt_1,Vitamins,Value
"CHEESE,PARMESAN,HARD",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,603
"CHEESE,PARMESAN,HARD",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,PARMESAN,HARD",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.8
"CHEESE,PARMESAN,HARD",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.039
"CHEESE,PARMESAN,HARD",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.332
"CHEESE,PARMESAN,HARD",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.271
"CHEESE,PORT DE SALUT",Dairy and Egg,Dairy and Egg Products,132,Vit_A,1333
"CHEESE,PORT DE SALUT",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,PORT DE SALUT",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.5
"CHEESE,PORT DE SALUT",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.014
"CHEESE,PORT DE SALUT",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.24
"CHEESE,PORT DE SALUT",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.06
"CHEESE,PROVOLONE",Dairy and Egg,Dairy and Egg Products,132,Vit_A,815
"CHEESE,PROVOLONE",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,PROVOLONE",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.35
"CHEESE,PROVOLONE",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.019
"CHEESE,PROVOLONE",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.321
"CHEESE,PROVOLONE",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.156
"CHEESE,RICOTTA,WHOLE MILK",Dairy and Egg,Dairy and Egg Products,246,Vit_A,490
"CHEESE,RICOTTA,WHOLE MILK",Dairy and Egg,Dairy and Egg Products,246,Vit_C,0
"CHEESE,RICOTTA,WHOLE MILK",Dairy and Egg,Dairy and Egg Products,246,Vit_E,0.35
"CHEESE,RICOTTA,WHOLE MILK",Dairy and Egg,Dairy and Egg Products,246,Thiamin,0.013
"CHEESE,RICOTTA,WHOLE MILK",Dairy and Egg,Dairy and Egg Products,246,Riboflavin,0.195
"CHEESE,RICOTTA,WHOLE MILK",Dairy and Egg,Dairy and Egg Products,246,Niacin,0.104
"CHEESE,RICOTTA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,246,Vit_A,432
"CHEESE,RICOTTA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,246,Vit_C,0
"CHEESE,RICOTTA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,246,Vit_E,0.214
"CHEESE,RICOTTA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,246,Thiamin,0.021
"CHEESE,RICOTTA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,246,Riboflavin,0.185
"CHEESE,RICOTTA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,246,Niacin,0.078
"CHEESE,ROMANO",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,571
"CHEESE,ROMANO",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,ROMANO",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.727
"CHEESE,ROMANO",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.037
"CHEESE,ROMANO",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.37
"CHEESE,ROMANO",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.077
"CHEESE,ROQUEFORT",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,1047
"CHEESE,ROQUEFORT",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,ROQUEFORT",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0
"CHEESE,ROQUEFORT",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.04
